volume_no,magazine_id,publish_year
42,2,2003
50,2,2006
54,2,2010
48,1,2011
27,1,1990
51,2,2007
26,1,1989
39,1,2003
35,1,1998
37,1,2001
52,2,2008
33,1,1996
53,2,2009
56,2,2012
27,1,1989
42,1,2005
26,1,1988
31,1,1994
50,1,2013
30,1,1993
34,1,1997
23,1,1986
32,1,1995
45,1,2008
